,channel,pick 1618410408.05,uncertainty,snr 132.39877812421153
0,78.0,,,5.23233027951
1,79.0,137.9,0.0337933970314,1.71342812885
2,80.0,137.778571429,0.0398063167544,3.42941824335
3,81.0,135.852186201,0.0464058249162,1.43848475069
4,82.0,134.985714286,0.0710739564377,1.60626400823
5,83.0,134.065362338,0.11088073737,1.18228256217
6,84.0,131.335714286,0.032236228863,1.72808669606
7,85.0,130.564935876,0.0401822383987,1.18635629954
8,86.0,129.542857143,0.0313588057594,7.00604278056
9,87.0,128.221428571,0.0330001549941,3.26786895531
10,88.0,127.4,0.0379786942352,2.32294573621
11,89.0,125.078571429,0.0392935771601,1.57285458166
12,90.0,124.157142857,0.0381328174097,2.02847695533
13,91.0,122.735714286,0.0318913721678,7.94694771878
14,92.0,122.414285714,0.0490955094759,1.65394889525
15,93.0,120.892857143,0.0376822846422,2.69004641848
16,94.0,119.171428571,0.0352049577547,2.62725412817
17,95.0,118.85,0.0360423553053,4.40553069162
18,96.0,116.928571429,0.0407002636287,40.3535152093
19,97.0,116.607142857,0.0351234122909,7.68535623275
20,98.0,114.785714286,0.0316198037167,29.0135838103
21,99.0,113.364285714,0.0286135837983,138.375333202
22,100.0,111.942857143,0.0273827536199,117.696229534
23,101.0,110.521428571,0.0262939375848,506.272066345
24,102.0,108.1,0.025982617712,110.26682402
25,103.0,105.678571429,0.0247781461052,41.2043283341
26,104.0,104.957142857,0.0727534797888,152.914583497
27,105.0,104.735714286,0.0409603899352,66.9560139181
28,106.0,103.714285714,0.0284599198927,323.361085584
29,107.0,104.092857143,0.0778196575898,256.416976551
30,108.0,100.814285714,0.0388928628545,77.5025693972
31,109.0,99.7928571429,0.0531882500267,2226.92335867
32,110.0,98.7714285714,0.100424702546,486.887663682
33,111.0,95.4928571429,-0.913049285596,169.069517724
34,112.0,93.0714285714,0.0366519359847,2137.47672538
35,113.0,96.35,0.0281403355216,139.774184634
36,114.0,97.8285714286,0.0356320090867,156.405240829
37,115.0,97.8071428571,0.0751093804809,10.3410264027
38,116.0,97.3857142857,0.0213408790321,31.3302099588
39,117.0,97.8642857143,0.0240249281665,5.25429771882
40,118.0,99.1428571429,0.0229864174358,102.161206137
41,119.0,100.021428571,0.0249750079633,80.1574686928
42,120.0,101.1,0.028629745617,20.0157105255
43,121.0,102.378571429,0.0343086761208,3.46637691111
44,122.0,103.057142857,0.0345672945636,12.7890882454
45,123.0,103.835714286,0.0329137142389,15.3054794439
46,124.0,104.614285714,0.0241297467111,6.49754014308
47,125.0,105.492857143,0.0250596766871,5.51575401954
48,126.0,106.371428571,0.0313674957398,2.07388334822
49,127.0,107.008195724,0.0402098252928,1.30408720979
50,128.0,108.378571429,0.047215020243,1.59809067828
51,129.0,109.757142857,0.0266632224342,3.55045244936
52,130.0,109.835714286,,3.36873017012
53,131.0,,,1.76948549753
54,132.0,,,1.18492606753
55,133.0,,,0.242652731673
56,134.0,,,1.21016234032
